image_paths,labels
/home/ubuntu/MachineLearningII/train/questionnaire/0012210663.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2060045973.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2060054451.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/506389387.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/505611521_505611535.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/455599.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/522548002+-8021.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/71334033.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2042718735_2042718737.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/96255614_5617.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/03322587_03322593.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/507305211+-5211.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/525023198+-3199.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2065576361_6372.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2040446917_2040446919.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/505579518_505579532.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/82873002_3003.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2073343513_3514.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/518302470+-2471.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/71920112.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/503557336_503557341.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2023682900.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/506677712.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/0001221927.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/0001045132.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2050991496_2050991501.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/2046718737_2046718738.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/518306107+-6108.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/85392956_2968.tif,13
/home/ubuntu/MachineLearningII/train/questionnaire/91345322_5327.tif,13
